userid,starttime,endtime
1,393,420
1,628,642
1,1120,1165
1,1166,1211
1,1212,1257
1,1258,1272
1,1361,1363
2,462,467
2,515,546
2,930,965
2,1298,1339
3,321,343
3,962,971
4,1116,1161
4,1162,1206
4,1274,1283
5,863,908
5,909,914
5,1282,1283
5,1313,1326
5,1349,1361
5,1369,1394
6,91,92
6,1354,1362
7,347,372
8,211,254
8,526,556
8,1262,1296
9,166,195
9,634,654
9,1236,1247
10,415,446
10,621,665
10,1215,1238
10,1365,1374
11,32,41
11,653,661
12,87,132
12,133,163
12,333,350
12,629,635
12,1260,1272
13,87,92
13,154,189
13,576,577
13,888,903
13,1137,1178
13,1254,1299
13,1300,1331
14,44,82
14,540,574
14,863,882
14,1207,1243
14,1283,1299
14,1368,1380
15,202,234
15,454,484
16,380,387
16,402,439
16,542,587
16,588,633
16,634,663
17,140,157
17,206,221
17,476,520
17,1319,1343
18,289,334
18,335,353
18,557,590
18,645,664
18,857,895
18,1252,1262
19,597,627
19,783,801
19,1120,1165
19,1166,1210
19,1337,1359
20,468,472
20,565,610
20,778,781
20,1082,1126
20,1204,1230
20,1252,1271
20,1273,1283
20,1325,1361
21,517,533
21,767,812
21,813,846
21,1096,1106
21,1131,1173
21,1234,1256
22,508,528
22,863,872
22,1101,1146
22,1147,1189
23,78,123
23,124,146
23,616,661
24,291,305
24,454,489
24,502,528
24,1253,1298
25,550,572
25,1179,1224
25,1225,1260
26,275,284
26,568,613
26,614,655
26,1311,1345
27,72,75
27,610,627
27,1096,1141
27,1142,1163
27,1239,1284
27,1310,1329
27,1342,1376
28,501,520
28,566,611
28,612,623
28,1340,1355
29,488,533
29,534,579
29,580,625
29,626,634
29,1360,1374
30,597,609
30,1154,1161
30,1298,1343
30,1344,1373
31,562,607
31,608,653
31,832,841
31,958,1003
31,1216,1220
31,1253,1269
31,1279,1293
32,604,625
32,1267,1297
32,1313,1358
32,1359,1375
33,525,570
33,571,579
33,611,625
33,651,655
33,925,970
33,971,1010
33,1209,1236
33,1282,1287
33,1292,1337
33,1338,1348
34,337,374
34,864,876
34,1004,1005
34,1385,1386
35,568,585
35,1317,1362
35,1363,1365
36,377,412
36,922,938
36,944,989
36,990,1018
36,1176,1221
36,1222,1267
36,1268,1283
36,1355,1372
37,396,441
37,442,487
37,488,533
37,534,579
37,580,589
37,1079,1107
37,1387,1391
38,557,602
38,603,623
38,1307,1329
39,660,671
39,1265,1302
39,1355,1379
40,464,508
40,1182,1216
40,1355,1381
41,246,291
41,292,304
41,535,580
41,581,587
41,589,620
41,1161,1206
41,1207,1242
42,1217,1262
42,1263,1284
42,1363,1367
43,557,602
43,603,643
43,827,872
43,873,887
43,1240,1285
43,1286,1325
43,1371,1385
44,54,63
44,888,913
45,312,317
45,457,496
45,581,590
45,1172,1217
45,1218,1227
46,531,572
47,26,47
47,954,973
47,993,1020
48,96,126
48,328,336
48,407,432
48,648,664
48,1274,1277
48,1313,1358
48,1359,1383
49,144,176
49,621,652
49,1141,1186
49,1187,1211
49,1236,1264
49,1338,1381
50,548,565
50,589,634
50,635,637
50,817,823
50,1257,1261
51,609,612
51,1310,1352
52,655,668
52,1120,1165
52,1166,1180
52,1370,1394
53,542,587
54,975,1013
54,1162,1202
54,1204,1218
55,565,610
55,611,630
55,650,653
55,990,1033
55,1243,1250
55,1353,1368
56,391,436
56,437,479
56,1083,1108
56,1220,1236
56,1244,1250
56,1313,1347
57,257,272
57,502,503
57,552,597
57,598,619
57,1137,1162
57,1343,1345
57,1347,1374
58,621,661
58,1225,1266
58,1344,1349
59,186,203
59,1291,1329
60,348,368
60,508,517
60,1199,1201
60,1342,1387
61,221,266
61,278,306
61,768,782
61,903,942
61,1144,1153
62,565,585
62,1240,1280
63,108,119
63,449,461
63,523,524
63,1061,1080
64,434,478
64,614,631
64,775,820
64,821,866
64,867,879
64,1075,1120
64,1121,1166
64,1167,1177
64,1236,1265
64,1332,1377
65,45,77
65,576,602
65,608,613
66,98,137
66,568,609
66,1316,1354
67,397,419
67,493,538
67,539,550
67,575,620
67,621,666
67,1065,1082
67,1292,1312
68,127,169
68,958,974
69,608,653
69,1315,1339
70,146,157
70,422,467
70,468,477
70,1332,1336
71,200,245
71,246,290
71,404,409
71,567,589
72,499,537
72,1047,1082
72,1183,1222
72,1358,1367
73,457,475
73,479,509
73,539,549
73,641,672
73,746,771
73,879,923
73,971,1016
73,1017,1018
74,36,55
74,530,557
74,1311,1318
74,1325,1370
75,519,564
75,565,592
75,1124,1126
75,1310,1326
75,1330,1344
76,358,376
