predicted,expected
32.704698,26.2
31.880349,24.285714
29.85682,38
28.876742,30
22.406223,15
20.310771,19.2
15.916917,25.75
26.10319,27
21.870625,16.5
33.247583,22.4
21.740224,27.166667
32.539027,28
53.50258,11.714286
31.889642,42
33.628612,44.555556
28.040266,26.25
31.328654,16.666667
32.388145,39
38.670003,16.5
27.849481,22.6
37.531317,36
19.507082,39.555556
28.314352,31.1
31.401787,33.2
43.368566,37.25
34.678332,20.333333
26.891943,48.333333
29.032836,21
21.000101,38.333333
28.719987,24
30.985439,50.4
29.061947,29
37.923352,25.285714
31.096852,10
32.623122,32.833333
30.630056,41.6
21.776467,27.625
25.881357,27.75
26.646837,9
45.374774,31.285714
29.037632,36.6
27.991906,49.142857
20.903731,69.25
40.838314,32.5
48.849505,40.142857
29.729172,8.5
12.728012,36.25
26.342363,19.5
33.810708,3.333333
36.95011,45.5
30.781993,18
35.496438,28.5
40.425454,53.4
44.189623,22
24.585772,22.714286
24.533497,26.666667
19.816754,51
46.192224,33
41.680211,44.75
43.214241,80
34.611075,31.8
34.483256,16.666667
24.974293,41
36.830135,29
33.775546,22.25
35.386413,49.666667
31.079995,32
46.305423,42.2
44.287004,62.666667
52.499984,25.5
35.567291,39.166667
35.454543,54.5
49.88883,61.2
43.763094,26
25.441024,27.166667
31.600268,70
39.508835,42.5
40.082642,14.2
26.935652,21.5
